Igra,Min. st. igralcev,Max. st. igralcev,Min cas,Max. cas,Leto izdaje,Min. starost,Ocena,Osnova/Dodatek
Century: Spice Road,2,5,30,45,2017,8,9.54,
Evolution: Climate,2,6,60,,2016,12,7.71,
Ethnos,2,6,45,60,2017,14,7,
Tyrants of the Underdark,2,4,60,,2016,14,7,
Neuroshima Hex! 3.0,1,4,30,,2006,13,9.53,
Telestrations,4,8,30,,2009,12,7.21,
KeyForge: Call of the Archons,2,2,15,45,2018,14,8.72,
Hanamikoji,2,2,15,,2013,10,8.41,
Pulsar 2849,2,4,60,90,2017,14,8.06,
Endeavor,3,5,90,,2009,12,7.73,
Claustrophobia,2,2,45,,2009,14,9.61,
Cthulhu Wars,2,4,90,120,2015,14,8.97,
Takenoko,2,4,45,,2011,8,7.54,
Blood Bowl: Living Rulebook,2,2,120,,2004,12,9.03,
Notre Dame,2,5,45,75,2007,10,8.24,
Tiny Epic Galaxies,1,5,30,60,2015,14,7.96,
Clash of Cultures,2,4,180,240,2012,14,8.33,
Love Letter,2,4,20,,2012,10,7.26,
In the Year of the Dragon,2,5,75,100,2007,12,7.57,
Advanced Squad Leader,2,2,120,480,1985,14,7.75,
Dune,2,6,60,180,1979,12,8.04,
The Quacks of Quedlinburg,2,4,45,,2018,10,8.91,
The Manhattan Project,2,5,120,,2012,13,8,
San Juan,2,4,45,60,2004,10,9.94,
Mice and Mystics,1,4,60,90,2012,7,8.56,
Civilization,2,7,360,,1980,12,8,
Codenames: Pictures,2,8,15,,2016,10,7.31,
Survive: Escape from Atlantis!,2,4,45,60,1982,8,8,
Lords of Hellas,1,4,60,90,2018,14,8.73,
The Pillars of the Earth,2,4,90,120,2006,12,9.15,
BattleCON: Devastation of Indines,1,5,45,,2013,10,9.08,
Space Hulk (third edition),2,2,60,,2009,12,8.47,
Saint Petersburg,2,4,45,60,2004,10,8.95,
The Quest for El Dorado,2,4,30,60,2017,10,9,
Nemesis,1,5,90,180,2018,12,7.27,
King of Tokyo,2,6,30,,2011,8,8.31,
At the Gates of Loyang,1,4,60,120,2009,10,9.79,
Ticket to Ride: Märklin,2,5,30,60,2006,8,9.77,
Nippon,2,4,60,120,2015,12,9.21,
Aeons End: War Eternal,1,4,60,,2017,14,7.47,
Blood Bowl: Team Manager – The Card Game,2,4,90,,2011,14,8.15,
Century: Golem Edition,2,5,30,45,2017,8,8.28,
Bruxelles 1893,2,5,50,125,2013,13,9.71,
Macao,2,4,50,100,2009,12,8,
Arboretum,2,4,30,,2015,8,9.78,
Arkham Horror,1,8,120,360,2005,12,8.65,
Risk Legacy,3,5,60,,2011,13,7.66,
Maria,2,3,210,,2009,14,8.42,
Fresco,2,4,60,,2010,10,7.51,
For Sale,3,6,30,,1997,10,9.01,
Harry Potter: Hogwarts Battle,2,4,30,60,2016,11,9.37,
A Few Acres of Snow,2,2,60,120,2011,14,9.29,
Lancaster,2,5,60,,2011,10,8.65,
51st State: Master Set,1,4,60,90,2016,14,8.33,
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,1,8,60,120,2017,10,7.24,
San Juan (Second Edition),2,4,45,60,2014,10,9.81,
Glen More,2,5,45,70,2010,10,8.65,
Flash Point: Fire Rescue,2,6,45,,2011,10,9.08,
Quadropolis,2,4,30,60,2016,8,8.41,
Millennium Blades,2,5,80,120,2016,12,8.07,
BattleLore,2,2,60,,2006,10,9.63,
Sheriff of Nottingham,3,5,60,,2014,14,7,
1775: Rebellion,2,4,60,120,2013,10,9,
Lord of the Rings: The Confrontation,2,2,30,,2005,14,7.57,
Altiplano,2,5,60,120,2017,12,8.39,
Heaven & Ale,2,4,60,90,2017,12,8.12,
Underwater Cities,1,4,80,150,2018,12,9.01,
Heroscape Master Set: Rise of the Valkyrie,2,4,90,,2004,8,9.41,
Shadows of Brimstone: City of the Ancients,1,4,120,,2014,12,9.82,
Firefly: The Game,1,5,120,240,2013,13,8.18,
Kingsburg,2,5,90,,2007,13,7.38,
Blood Bowl (Third Edition),2,2,180,,1994,12,8.02,
Pandemic: The Cure,2,5,30,,2014,8,8.96,
Amun-Re,3,5,90,,2003,12,9.83,
Mansions of Madness,2,5,120,180,2011,13,8.51,
Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,2,2,30,45,2015,14,7.77,
Amerigo,2,4,90,,2013,10,9.94,
Forbidden Desert,2,5,45,,2013,10,7.84,
Innovation,2,4,45,60,2010,12,7.96,
Bärenpark,2,4,30,45,2017,8,8.97,
Descent: Journeys in the Dark,2,5,120,240,2005,12,7.95,
London (first edition),2,4,90,,2010,13,9.64,
Spartacus: A Game of Blood & Treachery,3,4,120,180,2012,17,9.12,
Lost Cities,2,2,30,,1999,10,9,
The Godfather: Corleones Empire,2,5,60,90,2017,14,7.98,
Stockpile,2,5,45,,2015,13,8.76,
Dice Forge,2,4,45,,2017,10,9  ,
Sentinels of the Multiverse,2,5,30,60,2011,8,9.66,
The Great Zimbabwe,2,5,90,150,2012,14,7.87,
Hanabi,2,5,25,,2010,8,9.49,
Archipelago,2,5,30,240,2012,14,7.97,
Mythic Battles: Pantheon,2,4,60,90,2017,14,8.72,
The Grizzled,2,5,30,,2015,14,7.73,
Egizia,2,4,90,,2009,12,9.46,
Raptor,2,2,25,,2015,9,7,
Roads & Boats,1,4,240,,1999,14,8.19,
Biblios,2,4,30,,2007,10,8.84,
Labyrinth: The War on Terror, 2001 – ?,1,2,180,,2010,,7.12
Times Up! Title Recall!,4,18,60,,2008,12,7.61,
Pandemic: Reign of Cthulhu,2,4,40,,2016,14,9.25,
Madeira,2,4,60,150,2013,12,9.99,
Catan,3,4,60,120,1995,10,8.56,
One Night Ultimate Werewolf,3,10,10,,2014,8,8.87,
Small World Underground,2,5,30,90,2011,8,8,
Commands & Colors: Napoleonics,2,2,90,,2010,14,8.36,
Deus,2,4,60,90,2014,14,9.73,
Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,1,4,90,,2013,13,9.55,
Legends of Andor,2,4,60,90,2012,10,9.17,
Star Wars: Destiny,2,2,30,,2016,10,8.99,
Colt Express,2,6,30,40,2014,10,8.79,
Earth Reborn,2,4,180,,2010,13,8.34,
Photosynthesis,2,4,30,60,2017,10,8.94,
Friday,1,1,25,,2011,13,9.38,
Airlines Europe,2,5,75,,2011,10,9.22,
Santa Maria,1,4,45,90,2017,12,7.54,
First Class: All Aboard the Orient Express!,2,4,40,80,2016,10,7.39,
PitchCar,2,8,30,,1995,6,7.88,
Libertalia,2,6,45,,2012,14,8,
Freedom: The Underground Railroad,1,4,60,120,2012,13,8.58,
Vinhos,2,4,60,135,2010,12,9.32,
Euphoria: Build a Better Dystopia,2,6,60,,2013,13,8.82,
Abyss,2,4,30,60,2014,14,9.94,
Vikings,2,4,60,,2007,10,8.09,
Shadows over Camelot,3,7,60,80,2005,10,9.35,
Ginkgopolis,1,5,45,,2012,13,8.34,
Elysium,2,4,60,,2015,14,8.69,
Hammer of the Scots,2,2,120,180,2002,12,9.24,
Taj Mahal,3,5,75,100,2000,12,9.03,
Citadels,2,8,20,60,2000,10,7.34,
TZAAR,2,2,30,60,2007,13,8.48,
Gùgōng,1,5,60,90,2018,12,10 ,
A Game of Thrones: The Card Game (Second Edition),2,4,60,120,2015,14,8.52,
Paperback,2,5,45,,2014,8,9.31,
Conan,2,5,90,,2016,14,7.75,
Western Legends,2,6,60,90,2018,14,9.81,
Tales of the Arabian Nights,1,6,120,,2009,12,9.02,
Ingenious,1,4,45,,2004,10,9,
A Game of Thrones (First Edition),3,5,180,,2003,12,9.18,
The Lord of the Rings: Journeys in Middle-earth,1,5,60,120,2019,14,7.67,
The Colonists,1,4,30,360,2016,12,9.86,
Imhotep,2,4,40,,2016,10,7.76,
Magic Maze,1,8,15,,2017,8,8.87,
Evolution,2,6,60,,2014,12,8,
Azul: Stained Glass of Sintra,2,4,30,45,2018,8,9,
Automobile,3,5,120,,2009,12,9.44,
Last Will,2,5,45,75,2011,13,7.87,
RoboRally,2,8,45,120,1994,12,8.83,
Lords of Vegas,2,4,60,,2010,12,9.56,
StarCraft: The Board Game,2,6,180,240,2007,12,8.85,
Thurn and Taxis,2,4,60,,2006,13,8.36,
Schotten Totten,2,2,20,,1999,8,9.74,
Chinatown,3,5,60,,1999,12,9.58,
Mystic Vale,2,4,45,,2016,14,9.13,
Nexus Ops,2,4,90,,2005,12,9.36,
Francis Drake,3,5,90,120,2013,14,7.76,
Carson City,2,5,90,,2009,12,8.86,
Sword & Sorcery,1,5,60,90,2017,12,9.64,
Colosseum,3,5,60,90,2007,10,8,
Thunderstone Advance: Towers of Ruin,1,5,45,,2012,12,8.31,
Sushi Go!,2,5,15,,2013,8,7,
The Republic of Rome,1,6,300,,1990,14,8.69,
KLASK,2,2,10,,2014,,7.51,
DVONN,2,2,30,,2001,9,8.07,
Struggle of Empires,2,7,180,240,2004,13,9.68,
Zombicide,1,6,60,,2012,14,8.09,
Chicago Express,2,6,60,,2007,12,9.47,
Gears of War: The Board Game,1,4,60,180,2011,13,7.83,
AquaSphere,2,4,100,,2014,12,8.42,
Nemos War (second edition),1,4,60,120,2017,13,7.24,
Snowdonia,1,5,30,90,2012,10,9.95,
Runebound (Third Edition),2,4,120,180,2015,14,8.44,
Skull,3,6,45,,2011,14,7.71,
Bohnanza,2,7,45,,1997,13,8.44,
Junk Art,2,6,30,,2016,8,9,
Baseball Highlights: 2045,1,4,45,,2015,9,9,
Monikers,4,20,60,,2015,18,9.78,
Quantum,2,4,60,,2013,13,9.37,
Shadows of Brimstone: Swamps of Death,1,4,90,180,2014,12,9.97,
Queendomino,2,4,25,,2017,8,9.42,
Potion Explosion,2,4,30,45,2015,8,9,
Triumph & Tragedy,2,3,240,,2015,12,7.21,
Wallenstein (first edition),3,5,150,,2002,12,8.08,
Fire in the Lake,1,4,180,,2014,,7.48,
Karuba,2,4,30,40,2015,8,9.95,
The Fox in the Forest,2,2,30,,2017,10,9.33,
Trains,2,4,45,,2012,12,7.85,
No Thanks!,3,7,20,,2004,8,7.77,
Belfort,2,5,120,,2011,12,8.31,
Argent: The Consortium,2,5,60,150,2015,10,7.41,
Mare Nostrum: Empires,3,5,90,120,2016,14,7,
Camel Up,2,8,20,30,2014,8,8.68,
Warhammer Quest: The Adventure Card Game,1,4,30,60,2015,14,8.06,
Pax Porfiriana,1,6,120,,2012,12,9.42,
Summoner Wars,2,4,30,60,2009,9,9.18,
One Night Ultimate Werewolf Daybreak,3,7,10,,2015,8,8.53,
Bunny Kingdom,2,4,40,60,2017,12,9.49,
Discworld: Ankh-Morpork,2,4,60,,2011,11,8.76,
The Battle of Five Armies,2,2,90,240,2014,13,9.31,
Port Royal,2,5,20,50,2014,8,8,
Smash Up: Awesome Level 9000,2,2,45,,2013,12,8.19,
Downforce,2,6,20,40,2017,10,7.23,
Dixit: Journey,3,6,30,,2012,8,9.45,
Thebes,2,4,60,,2007,8,9.65,
Tobago,2,4,60,,2009,10,8.73,
Broom Service,2,5,30,75,2015,10,8.22,
Chess,2,2,60,,1475,6,9.44,
Alhambra,2,6,45,60,2003,8,9.13,
Carcassonne: Hunters and Gatherers,2,5,30,45,2002,8,9.67,
Gizmos,2,4,40,50,2018,14,8,
Defenders of the Realm,1,4,90,,2010,13,9.41,
Up Front,2,3,60,,1983,12,9.68,
Coup,2,6,15,,2012,13,7.89,
ZhanGuo,2,4,60,120,2014,12,9.42,
1846: The Race for the Midwest,3,5,240,,2005,14,8.65,
Times Up!,4,18,90,,1999,12,8.87,
Luna,1,4,60,100,2010,12,9.82,
Jamaica,2,6,30,60,2007,8,9.48,
Taluva,2,4,45,,2006,8,9.29,
Torres,2,4,60,,1999,12,7.27,
Cuba,2,5,75,120,2007,10,8,
Space Empires: 4X,1,4,180,,2011,12,9.64,
Through the Desert,2,5,45,,1998,10,8,
Shakespeare,1,4,20,90,2015,13,9.87,
Fury of Dracula (Second Edition),2,5,180,,2005,10,8.12,
Lord of the Rings: The Confrontation,2,2,30,,2002,12,7.26,
Specter Ops,2,5,60,120,2015,13,9.13,
Cry Havoc,2,4,60,120,2016,10,9.87,
Ashes: Rise of the Phoenixborn,2,4,30,120,2015,14,9.44,
The Duke,2,2,30,,2013,13,9.99,
Myrmes,2,4,60,120,2012,13,8.19,
Mr. Jack,2,2,30,,2006,9,9.05,
Napoleons Triumph,2,2,180,,2007,12,8.26,
Advanced Squad Leader: Starter Kit #1,2,2,120,,2004,13,9.28,
Betrayal at House on the Hill,3,6,60,,2004,12,7.64,
Escape: The Curse of the Temple,1,5,10,,2012,8,9.98,
Formula D,2,10,60,,2008,8,7.33,
Vegas Showdown,3,5,75,,2005,12,7.53,
Conflict of Heroes: Awakening the Bear! – Russia 1941-42,1,4,120,,2008,10,8.62,
Cryptid,3,5,30,50,2018,10,7.56,
Dominion (Second Edition),2,4,30,,2016,14,9.83,
Star Trek: Fleet Captains,2,4,90,120,2011,14,9.41,
London (Second Edition),2,4,60,90,2017,14,8,
Thunderstone Quest,2,4,60,90,2018,14,7,
Blood Bowl (2016 edition),2,2,45,120,2016,12,8.28,
Steampunk Rally,2,8,45,60,2015,14,9.58,
Eminent Domain,2,4,45,,2011,10,7.47,
1989: Dawn of Freedom,2,2,150,,2012,12,8.98,
Summoner Wars: Alliances Master Set,2,4,45,,2014,9,8.18,
Tokaido,2,5,45,,2012,8,9.31,
Medici,2,6,60,,1995,10,9.44,
Exit: The Game – The Pharaohs Tomb,1,6,45,90,2016,12,9.28,
Love Letter: Batman,2,4,20,,2015,10,9.94,
Cuba Libre,1,4,180,,2013,,7.23,
Shipyard,2,4,120,,2009,11,8,
Las Vegas,2,5,30,,2012,8,8.65,
The Downfall of Pompeii,2,4,45,,2004,10,8.94,
Space Hulk,2,4,45,,1989,12,8.09,
Washingtons War,2,2,90,,2010,,9.47,
Zombicide Season 2: Prison Outbreak,1,6,90,180,2013,13,9.79,
Arcadia Quest: Inferno,2,4,60,120,2017,13,9.22,
Middle-Earth Quest,2,4,180,,2009,13,8.84,
Tajemnicze Domostwo,2,7,30,60,2013,8,8.48,
Among the Stars,2,4,30,,2012,12,7.79,
Spyfall,3,8,15,,2014,12,8.23,
Yspahan,2,4,45,60,2006,8,9,
Kingdom Builder,2,4,45,,2011,8,7.46,
K2,1,5,30,60,2010,8,7.63,
Love Letter Premium,2,8,20,30,2016,8,9.39,
Elder Sign,1,8,90,,2011,13,8.62,
Stuffed Fables,2,4,60,90,2018,7,8.72,
Newton,1,4,90,,2018,14,8,
Tash-Kalar: Arena of Legends,2,4,30,60,2013,13,8.41,
World Without End,2,4,90,120,2009,12,8.65,
Empires: Age of Discovery,2,6,50,150,2015,10,7.85,
Citadels,2,8,30,60,2016,10,9,
Gloomhaven: Forgotten Circles,1,4,60,120,2019,12,8.59,Gloomhaven
Gloomhaven: Solo Scenarios,1,1,,,2017,12,9.18,Gloomhaven
Gloomhaven: The End of the World (Promo Scenario),1,4,60,120,2017,12,8.14,Gloomhaven
Through the Ages: New Leaders and Wonders,2,4,120,,2019,,8.98,Through the Ages: A New Story of Civilization
Terraforming Mars: Gathering of Friends Promo Card,1,5,120,,2019,12,8.11,Terraforming Mars
Terraforming Mars: Turmoil,1,5,120,,2019,12,7.33,Terraforming Mars
Terraforming Mars: Atmo Collectors Promo Card,1,5,120,,2018,12,9.92,Terraforming Mars
Terraforming Mars: BGG User-Created Corporation Pack,1,5,120,,2018,12,8.24,Terraforming Mars
Terraforming Mars: Colonies,1,5,120,,2018,12,8.56,Terraforming Mars
Terraforming Mars: Jovian Lanterns Promo Card,1,5,120,,2018,12,9.13,Terraforming Mars
